user_id,item_id,rating,title,image_url
U001,B0001,3,unpaired red Nike sneaker,https://images.unsplash.com/photo-1542291026-7eec264c27ff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxfHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0002,1,white and red nike athletic shoe,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwyfHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0003,3,pair of white-and-orange athletic shoes on white box,https://images.unsplash.com/photo-1560769629-975ec94e6a86?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwzfHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0004,3,white and red nike athletic shoe,https://images.unsplash.com/photo-1600185365926-3a2ce3cdb9eb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw0fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0005,1,black and red nike athletic shoe,https://images.unsplash.com/photo-1609250291996-fdebe6020a8f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw1fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0006,3,a pair of running shoes sitting on top of a table,https://images.unsplash.com/photo-1709258228137-19a8c193be39?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw2fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0007,5,white adidas low-top sneakers,https://images.unsplash.com/flagged/photo-1556637640-2c80d3201be8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw3fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0008,2,person wearing white Nike running shoes standing on black concrete path,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw4fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0009,2,unpaired gray Nike running shoe,https://images.unsplash.com/photo-1491553895911-0055eca6402d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw5fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0010,1,black and white nike athletic shoes,https://images.unsplash.com/photo-1619253341026-74c609e6ce50?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxMHx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
