user_id,item_id,title,image_url
U001,B0001,unpaired red Nike sneaker,https://images.unsplash.com/photo-1542291026-7eec264c27ff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxfHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0002,white and red nike athletic shoe,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwyfHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0003,pair of white-and-orange athletic shoes on white box,https://images.unsplash.com/photo-1560769629-975ec94e6a86?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwzfHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0004,white and red nike athletic shoe,https://images.unsplash.com/photo-1600185365926-3a2ce3cdb9eb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw0fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0005,black and red nike athletic shoe,https://images.unsplash.com/photo-1609250291996-fdebe6020a8f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw1fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0006,a pair of running shoes sitting on top of a table,https://images.unsplash.com/photo-1709258228137-19a8c193be39?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw2fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0007,white adidas low-top sneakers,https://images.unsplash.com/flagged/photo-1556637640-2c80d3201be8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw3fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0008,person wearing white Nike running shoes standing on black concrete path,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw4fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0009,unpaired gray Nike running shoe,https://images.unsplash.com/photo-1491553895911-0055eca6402d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHw5fHxzcG9ydHMlMjBzaG9lc3xlbnwwfHx8fDE3NjUzNTYzNTd8MA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0010,black and white nike athletic shoes,https://images.unsplash.com/photo-1619253341026-74c609e6ce50?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxMHx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0011,person wearing black and white nike athletic shoes,https://images.unsplash.com/photo-1613972798457-45fc5237ae32?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxMXx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0012,green and black nike athletic shoe,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxMnx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0013,black adidas cleats lean on white and black adidas soccer ball on green grass,https://images.unsplash.com/photo-1511886929837-354d827aae26?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxM3x8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0014,pair of blue-and-black New Balance cleats in the air under teal sky with white clouds,https://images.unsplash.com/photo-1511426463457-0571e247d816?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxNHx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0015,person running on tracking field,https://images.unsplash.com/photo-1547941126-3d5322b218b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxNXx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0016,blue and white nike athletic shoe,https://images.unsplash.com/photo-1613743069803-c36101c1de01?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxNnx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0017,A pair of gray sneakers with white laces,https://images.unsplash.com/photo-1719523677291-a395426c1a87?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxN3x8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0018,person wearing blue and white nike athletic shoes,https://images.unsplash.com/photo-1579528542333-4148f1769c35?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxOHx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0019,black and white nike athletic shoes,https://images.unsplash.com/photo-1631087606988-a6be38fccaf6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwxOXx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U001,B0020,a pair of sneakers on an orange background,https://images.unsplash.com/photo-1631542156377-473540702434?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwyMHx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U002,B0021,a pair of shoes on an orange background,https://images.unsplash.com/photo-1631542503709-a269426f7d9e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwyMXx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U002,B0022,a pair of shoes sitting on top of an orange background,https://images.unsplash.com/photo-1631542245680-3bc3aeb813be?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwyMnx8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
U002,B0023,Pair of red athletic shoes with white soles.,https://images.unsplash.com/photo-1762690285055-fa80848e825b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDE4NjB8MHwxfHNlYXJjaHwyM3x8c3BvcnRzJTIwc2hvZXN8ZW58MHx8fHwxNzY1MzU2MzU3fDA&ixlib=rb-4.1.0&q=80&w=1080
